"","Geography","Geographic_Area_Name","Estimate_Total_All_households","Estimate_Total_All_households_Households_speaking_--_Spanish","Estimate_Total_All_households_Households_speaking_--_Other_Indo-European_languages","Estimate_Total_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages","Estimate_Total_All_households_Households_speaking_--_Other_languages","Estimate_Percent_All_households","Estimate_Percent_All_households_Households_speaking_--_Spanish","Estimate_Percent_All_households_Households_speaking_--_Other_Indo-European_languages","Estimate_Percent_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages","Estimate_Percent_All_households_Households_speaking_--_Other_languages","Estimate_Limited_English-speaking_households_All_households","Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Spanish","Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Other_Indo-European_languages","Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages","Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Other_languages","Estimate_Percent_limited_English-speaking_households_All_households","Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Spanish","Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Other_Indo-European_languages","Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages","Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Other_languages","NA"
"2","1400000US12001000201","Census Tract 2.01; Alachua County; Florida","2308","417","196","48","0","(X)","18.1","8.5","2.1","0.0","9","0","0","9","0","0.4","0.0","0.0","18.8","-",NA
"3","1400000US12001000202","Census Tract 2.02; Alachua County; Florida","1860","306","32","125","0","(X)","16.5","1.7","6.7","0.0","32","0","32","0","0","1.7","0.0","100.0","0.0","-",NA
"4","1400000US12001000301","Census Tract 3.01; Alachua County; Florida","1952","170","15","29","0","(X)","8.7","0.8","1.5","0.0","87","58","0","29","0","4.5","34.1","0.0","100.0","-",NA
"5","1400000US12001000302","Census Tract 3.02; Alachua County; Florida","1363","183","5","2","0","(X)","13.4","0.4","0.1","0.0","14","14","0","0","0","1.0","7.7","0.0","0.0","-",NA
"6","1400000US12001000400","Census Tract 4; Alachua County; Florida","2341","256","15","0","10","(X)","10.9","0.6","0.0","0.4","15","0","15","0","0","0.6","0.0","100.0","-","0.0",NA
"7","1400000US12001000500","Census Tract 5; Alachua County; Florida","2796","196","129","15","35","(X)","7.0","4.6","0.5","1.3","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0",NA
"8","1400000US12001000600","Census Tract 6; Alachua County; Florida","1734","9","6","0","12","(X)","0.5","0.3","0.0","0.7","0","0","0","0","0","0.0","0.0","0.0","-","0.0",NA
"9","1400000US12001000700","Census Tract 7; Alachua County; Florida","2512","146","135","0","0","(X)","5.8","5.4","0.0","0.0","27","27","0","0","0","1.1","18.5","0.0","-","-",NA
"10","1400000US12001000806","Census Tract 8.06; Alachua County; Florida","1491","332","267","79","0","(X)","22.3","17.9","5.3","0.0","87","18","59","10","0","5.8","5.4","22.1","12.7","-",NA
"11","1400000US12001000808","Census Tract 8.08; Alachua County; Florida","1699","89","100","98","36","(X)","5.2","5.9","5.8","2.1","34","0","0","34","0","2.0","0.0","0.0","34.7","0.0",NA
"12","1400000US12001000809","Census Tract 8.09; Alachua County; Florida","791","69","30","66","20","(X)","8.7","3.8","8.3","2.5","22","0","7","15","0","2.8","0.0","23.3","22.7","0.0",NA
"13","1400000US12001000901","Census Tract 9.01; Alachua County; Florida","237","63","65","46","15","(X)","26.6","27.4","19.4","6.3","69","37","0","32","0","29.1","58.7","0.0","69.6","0.0",NA
"14","1400000US12001000902","Census Tract 9.02; Alachua County; Florida","164","12","0","81","27","(X)","7.3","0.0","49.4","16.5","69","12","0","57","0","42.1","100.0","-","70.4","0.0",NA
"15","1400000US12001001000","Census Tract 10; Alachua County; Florida","3509","644","119","46","107","(X)","18.4","3.4","1.3","3.0","33","33","0","0","0","0.9","5.1","0.0","0.0","0.0",NA
"16","1400000US12001001100","Census Tract 11; Alachua County; Florida","2940","174","91","305","0","(X)","5.9","3.1","10.4","0.0","74","43","0","31","0","2.5","24.7","0.0","10.2","-",NA
"17","1400000US12001001201","Census Tract 12.01; Alachua County; Florida","1358","81","13","88","11","(X)","6.0","1.0","6.5","0.8","9","9","0","0","0","0.7","11.1","0.0","0.0","0.0",NA
"18","1400000US12001001202","Census Tract 12.02; Alachua County; Florida","3217","398","117","73","0","(X)","12.4","3.6","2.3","0.0","36","36","0","0","0","1.1","9.0","0.0","0.0","-",NA
"19","1400000US12001001203","Census Tract 12.03; Alachua County; Florida","1619","239","83","56","87","(X)","14.8","5.1","3.5","5.4","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0",NA
"20","1400000US12001001400","Census Tract 14; Alachua County; Florida","896","56","8","4","0","(X)","6.3","0.9","0.4","0.0","17","5","8","4","0","1.9","8.9","100.0","100.0","-",NA
"21","1400000US12001001514","Census Tract 15.14; Alachua County; Florida","1080","93","119","36","120","(X)","8.6","11.0","3.3","11.1","15","0","0","15","0","1.4","0.0","0.0","41.7","0.0",NA
"22","1400000US12001001515","Census Tract 15.15; Alachua County; Florida","2932","749","238","212","21","(X)","25.5","8.1","7.2","0.7","55","0","0","55","0","1.9","0.0","0.0","25.9","0.0",NA
"23","1400000US12001001516","Census Tract 15.16; Alachua County; Florida","1562","257","110","60","0","(X)","16.5","7.0","3.8","0.0","84","67","0","17","0","5.4","26.1","0.0","28.3","-",NA
"24","1400000US12001001517","Census Tract 15.17; Alachua County; Florida","2597","266","427","155","36","(X)","10.2","16.4","6.0","1.4","153","74","8","71","0","5.9","27.8","1.9","45.8","0.0",NA
"25","1400000US12001001519","Census Tract 15.19; Alachua County; Florida","882","205","135","130","59","(X)","23.2","15.3","14.7","6.7","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0",NA
"26","1400000US12001001522","Census Tract 15.22; Alachua County; Florida","4386","335","356","202","76","(X)","7.6","8.1","4.6","1.7","180","76","51","53","0","4.1","22.7","14.3","26.2","0.0",NA
"27","1400000US12001001605","Census Tract 16.05; Alachua County; Florida","4022","787","166","0","0","(X)","19.6","4.1","0.0","0.0","0","0","0","0","0","0.0","0.0","0.0","-","-",NA
"28","1400000US12001001701","Census Tract 17.01; Alachua County; Florida","3402","422","274","149","22","(X)","12.4","8.1","4.4","0.6","112","93","0","19","0","3.3","22.0","0.0","12.8","0.0",NA
"29","1400000US12001001702","Census Tract 17.02; Alachua County; Florida","2361","213","91","14","0","(X)","9.0","3.9","0.6","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","-",NA
"30","1400000US12001001802","Census Tract 18.02; Alachua County; Florida","1192","67","14","12","0","(X)","5.6","1.2","1.0","0.0","14","14","0","0","0","1.2","20.9","0.0","0.0","-",NA
"31","1400000US12001001803","Census Tract 18.03; Alachua County; Florida","2802","262","21","107","41","(X)","9.4","0.7","3.8","1.5","206","194","0","12","0","7.4","74.0","0.0","11.2","0.0",NA
"32","1400000US12001001811","Census Tract 18.11; Alachua County; Florida","3147","402","95","93","76","(X)","12.8","3.0","3.0","2.4","41","0","16","10","15","1.3","0.0","16.8","10.8","19.7",NA
"33","1400000US12001001813","Census Tract 18.13; Alachua County; Florida","1648","36","120","118","16","(X)","2.2","7.3","7.2","1.0","21","0","9","0","12","1.3","0.0","7.5","0.0","75.0",NA
"34","1400000US12001001815","Census Tract 18.15; Alachua County; Florida","792","96","4","0","0","(X)","12.1","0.5","0.0","0.0","0","0","0","0","0","0.0","0.0","0.0","-","-",NA
"35","1400000US12001001816","Census Tract 18.16; Alachua County; Florida","1990","200","0","0","0","(X)","10.1","0.0","0.0","0.0","0","0","0","0","0","0.0","0.0","-","-","-",NA
"36","1400000US12001001817","Census Tract 18.17; Alachua County; Florida","2111","155","126","41","0","(X)","7.3","6.0","1.9","0.0","86","0","86","0","0","4.1","0.0","68.3","0.0","-",NA
"37","1400000US12001001818","Census Tract 18.18; Alachua County; Florida","1675","163","106","0","0","(X)","9.7","6.3","0.0","0.0","41","0","41","0","0","2.4","0.0","38.7","-","-",NA
"38","1400000US12001001819","Census Tract 18.19; Alachua County; Florida","2216","161","94","0","0","(X)","7.3","4.2","0.0","0.0","0","0","0","0","0","0.0","0.0","0.0","-","-",NA
"39","1400000US12001001902","Census Tract 19.02; Alachua County; Florida","1361","57","214","0","10","(X)","4.2","15.7","0.0","0.7","78","49","29","0","0","5.7","86.0","13.6","-","0.0",NA
"40","1400000US12001001907","Census Tract 19.07; Alachua County; Florida","1237","109","37","0","15","(X)","8.8","3.0","0.0","1.2","58","58","0","0","0","4.7","53.2","0.0","-","0.0",NA
"41","1400000US12001001908","Census Tract 19.08; Alachua County; Florida","2159","101","54","0","0","(X)","4.7","2.5","0.0","0.0","4","4","0","0","0","0.2","4.0","0.0","-","-",NA
"42","1400000US12001002001","Census Tract 20.01; Alachua County; Florida","653","18","0","7","17","(X)","2.8","0.0","1.1","2.6","11","11","0","0","0","1.7","61.1","-","0.0","0.0",NA
"43","1400000US12001002002","Census Tract 20.02; Alachua County; Florida","1613","51","17","0","4","(X)","3.2","1.1","0.0","0.2","16","13","3","0","0","1.0","25.5","17.6","-","0.0",NA
"44","1400000US12001002101","Census Tract 21.01; Alachua County; Florida","885","78","20","2","2","(X)","8.8","2.3","0.2","0.2","7","0","5","2","0","0.8","0.0","25.0","100.0","0.0",NA
"45","1400000US12001002102","Census Tract 21.02; Alachua County; Florida","531","20","12","14","0","(X)","3.8","2.3","2.6","0.0","3","3","0","0","0","0.6","15.0","0.0","0.0","-",NA
"46","1400000US12001002201","Census Tract 22.01; Alachua County; Florida","2364","164","106","115","0","(X)","6.9","4.5","4.9","0.0","67","39","28","0","0","2.8","23.8","26.4","0.0","-",NA
"47","1400000US12001002202","Census Tract 22.02; Alachua County; Florida","2553","197","21","18","0","(X)","7.7","0.8","0.7","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","-",NA
"48","1400000US12001002204","Census Tract 22.04; Alachua County; Florida","5356","345","562","577","69","(X)","6.4","10.5","10.8","1.3","76","16","0","60","0","1.4","4.6","0.0","10.4","0.0",NA
"49","1400000US12001002207","Census Tract 22.07; Alachua County; Florida","1455","129","175","138","0","(X)","8.9","12.0","9.5","0.0","12","0","12","0","0","0.8","0.0","6.9","0.0","-",NA
"50","1400000US12001002208","Census Tract 22.08; Alachua County; Florida","1103","40","64","52","0","(X)","3.6","5.8","4.7","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","-",NA
"51","1400000US12001002209","Census Tract 22.09; Alachua County; Florida","3446","212","265","123","0","(X)","6.2","7.7","3.6","0.0","5","5","0","0","0","0.1","2.4","0.0","0.0","-",NA
"52","1400000US12001002210","Census Tract 22.10; Alachua County; Florida","2024","383","15","58","16","(X)","18.9","0.7","2.9","0.8","15","0","15","0","0","0.7","0.0","100.0","0.0","0.0",NA
"53","1400000US12001002217","Census Tract 22.17; Alachua County; Florida","2967","574","66","29","0","(X)","19.3","2.2","1.0","0.0","97","53","15","29","0","3.3","9.2","22.7","100.0","-",NA
"54","1400000US12001002218","Census Tract 22.18; Alachua County; Florida","1495","263","44","78","21","(X)","17.6","2.9","5.2","1.4","32","24","0","8","0","2.1","9.1","0.0","10.3","0.0",NA
"55","1400000US12001002219","Census Tract 22.19; Alachua County; Florida","2774","387","86","183","99","(X)","14.0","3.1","6.6","3.6","89","43","31","15","0","3.2","11.1","36.0","8.2","0.0",NA
"56","1400000US12001002220","Census Tract 22.20; Alachua County; Florida","1044","161","74","17","0","(X)","15.4","7.1","1.6","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","-",NA
"57","1400000US12001002221","Census Tract 22.21; Alachua County; Florida","2304","206","57","252","11","(X)","8.9","2.5","10.9","0.5","30","11","0","19","0","1.3","5.3","0.0","7.5","0.0",NA
"58","1400000US12001002222","Census Tract 22.22; Alachua County; Florida","2980","282","192","292","38","(X)","9.5","6.4","9.8","1.3","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0",NA
"59","1400000US12001110800","Census Tract 1108; Alachua County; Florida","898","105","41","24","10","(X)","11.7","4.6","2.7","1.1","19","0","19","0","0","2.1","0.0","46.3","0.0","0.0",NA
