Year,Geography,Geographic_Area_Name,No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_All_households,No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_Households_speaking_Spanish,No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_Households_speaking_Other_Indo-European_languages,No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_Households_speaking_Asian_and_Pacific_Island_languages,No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_Households_speaking_Other_languages,No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_PERCENT_IMPUTED_Language_status,No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_PERCENT_IMPUTED_Language_status_(speak_a_language_other_than_English),No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_PERCENT_IMPUTED_Ability_to_speak_English,Estimate_Total_All_households,Estimate_Total_All_households_Households_speaking_--_Spanish,Estimate_Total_All_households_Households_speaking_--_Other_Indo-European_languages,Estimate_Total_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages,Estimate_Total_All_households_Households_speaking_--_Other_languages,Estimate_Percent_All_households,Estimate_Percent_All_households_Households_speaking_--_Spanish,Estimate_Percent_All_households_Households_speaking_--_Other_Indo-European_languages,Estimate_Percent_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages,Estimate_Percent_All_households_Households_speaking_--_Other_languages,Estimate_Limited_English-speaking_households_All_households,Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Spanish,Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Other_Indo-European_languages,Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages,Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Other_languages,Estimate_Percent_limited_English-speaking_households_All_households,Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Spanish,Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Other_Indo-European_languages,Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages,Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Other_languages
2014,1400000US12001000200,"Census Tract 2, Alachua County, Florida",4.4,5.8,0,24.2,100,5.8,3.7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000301,"Census Tract 3.01, Alachua County, Florida",0.6,11.3,0,0,0,2.5,10.9,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000302,"Census Tract 3.02, Alachua County, Florida",2.9,32.7,-,-,-,2.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000400,"Census Tract 4, Alachua County, Florida",0.9,14.4,0,-,-,2,13.5,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000500,"Census Tract 5, Alachua County, Florida",0,0,0,-,0,5.9,5.9,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000600,"Census Tract 6, Alachua County, Florida",0.5,0,21.9,0,0,10.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000700,"Census Tract 7, Alachua County, Florida",0,0,0,-,-,5.9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000806,"Census Tract 8.06, Alachua County, Florida",9.9,14.5,14.1,52.7,0,6.9,6.8,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000808,"Census Tract 8.08, Alachua County, Florida",9.6,0,28,62.4,-,5,2.8,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000809,"Census Tract 8.09, Alachua County, Florida",2.3,0,14.3,20.7,0,2.1,4.4,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000901,"Census Tract 9.01, Alachua County, Florida",26.4,8.6,13.9,62.6,-,1,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000902,"Census Tract 9.02, Alachua County, Florida",0,-,0,0,-,0.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001000,"Census Tract 10, Alachua County, Florida",0,0,0,0,-,3,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001100,"Census Tract 11, Alachua County, Florida",0,0,0,0,-,4.8,2.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001201,"Census Tract 12.01, Alachua County, Florida",1.8,4.3,0,33.3,-,2.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001202,"Census Tract 12.02, Alachua County, Florida",5.8,37.4,8.3,62.6,-,0.9,1.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001203,"Census Tract 12.03, Alachua County, Florida",0,0,0,0,-,6.9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001400,"Census Tract 14, Alachua County, Florida",0.8,23.3,0,0,-,2.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001514,"Census Tract 15.14, Alachua County, Florida",2.7,0,0,86.4,0,0.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001515,"Census Tract 15.15, Alachua County, Florida",2.8,0,0,29.7,52,7.6,11.1,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001516,"Census Tract 15.16, Alachua County, Florida",0.6,0,0,13.6,-,6.5,3.7,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001517,"Census Tract 15.17, Alachua County, Florida",2.7,8.5,0,0,73.1,7.3,12.2,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001519,"Census Tract 15.19, Alachua County, Florida",4,3.9,0,30,-,9.5,5.4,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001520,"Census Tract 15.20, Alachua County, Florida",8.5,15.3,0,60.3,0,1.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001521,"Census Tract 15.21, Alachua County, Florida",2.9,0,0,41.7,44,8.1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001603,"Census Tract 16.03, Alachua County, Florida",2.2,0,26.8,-,-,9.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001604,"Census Tract 16.04, Alachua County, Florida",2,4,0,39.8,0,5,0,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001701,"Census Tract 17.01, Alachua County, Florida",0.6,0,39.5,0,0,1,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001702,"Census Tract 17.02, Alachua County, Florida",5.4,14,31.6,44.3,50,3.7,3.4,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001801,"Census Tract 18.01, Alachua County, Florida",0.1,2.7,0,0,-,6.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001802,"Census Tract 18.02, Alachua County, Florida",2.5,20.8,0,62.5,-,3.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001803,"Census Tract 18.03, Alachua County, Florida",0.8,10.3,0,18.9,-,1.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001805,"Census Tract 18.05, Alachua County, Florida",0.5,5.9,0,-,-,2.4,0,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001806,"Census Tract 18.06, Alachua County, Florida",2.5,17.6,20.6,0,-,7.9,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001811,"Census Tract 18.11, Alachua County, Florida",6.9,4.5,21.7,50.5,0,1.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001813,"Census Tract 18.13, Alachua County, Florida",0.8,0,0,9.3,0,5,18.4,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001814,"Census Tract 18.14, Alachua County, Florida",1.4,0,13.2,0,-,4.9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001902,"Census Tract 19.02, Alachua County, Florida",0,0,-,0,-,4.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001907,"Census Tract 19.07, Alachua County, Florida",0,0,0,0,-,7,40.1,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001908,"Census Tract 19.08, Alachua County, Florida",1.4,22.6,0,18.5,-,3,8.7,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001002000,"Census Tract 20, Alachua County, Florida",0,0,0,-,-,3.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001002101,"Census Tract 21.01, Alachua County, Florida",3.8,0,88.6,0,0,2.2,6.8,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001002102,"Census Tract 21.02, Alachua County, Florida",0,0,0,0,-,5.7,3.6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001002201,"Census Tract 22.01, Alachua County, Florida",0,0,0,0,0,12.3,3.2,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001002202,"Census Tract 22.02, Alachua County, Florida",1.1,29.8,0,0,0,6.7,13.9,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001002204,"Census Tract 22.04, Alachua County, Florida",3.1,5.9,4.7,48,0,2.6,2.3,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001002205,"Census Tract 22.05, Alachua County, Florida",1.5,0,20.7,8.8,0,2.7,5.3,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001002207,"Census Tract 22.07, Alachua County, Florida",0.8,9.2,0,0,0,2.7,2.6,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001002208,"Census Tract 22.08, Alachua County, Florida",1.3,24,0,0,-,4.8,6.6,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001002209,"Census Tract 22.09, Alachua County, Florida",0.4,0,0,0,68.4,3.2,3.3,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001002210,"Census Tract 22.10, Alachua County, Florida",0.8,10,0,0,-,1.1,0,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001002217,"Census Tract 22.17, Alachua County, Florida",2.7,6.7,0,77.6,-,2.1,1.8,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001002218,"Census Tract 22.18, Alachua County, Florida",0.8,4.6,0,13,-,2.9,5.8,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001002219,"Census Tract 22.19, Alachua County, Florida",5,23.3,0,52.6,33.3,5.1,1.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001002220,"Census Tract 22.20, Alachua County, Florida",4.2,36.5,100,-,0,3.5,2.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001110800,"Census Tract 1108, Alachua County, Florida",1.3,28.9,0,0,-,0.6,1.2,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,1400000US12001000200,"Census Tract 2, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,2583,414,175,58,15,(X),16,6.8,2.2,0.6,15,0,0,0,15,0.6,0,0,0,100
2019,1400000US12001000301,"Census Tract 3.01, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,1750,122,68,31,0,(X),7,3.9,1.8,0,35,14,0,21,0,2,11.5,0,67.7,-
2019,1400000US12001000302,"Census Tract 3.02, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,1084,112,64,6,11,(X),10.3,5.9,0.6,1,70,64,0,6,0,6.5,57.1,0,100,0
2019,1400000US12001000400,"Census Tract 4, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,2151,175,56,81,0,(X),8.1,2.6,3.8,0,52,26,0,26,0,2.4,14.9,0,32.1,-
2019,1400000US12001000500,"Census Tract 5, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,2522,228,81,25,0,(X),9,3.2,1,0,14,0,14,0,0,0.6,0,17.3,0,-
2019,1400000US12001000600,"Census Tract 6, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,1558,14,42,0,16,(X),0.9,2.7,0,1,28,0,12,0,16,1.8,0,28.6,-,100
2019,1400000US12001000700,"Census Tract 7, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,2374,112,25,0,12,(X),4.7,1.1,0,0.5,49,37,0,0,12,2.1,33,0,-,100
2019,1400000US12001000806,"Census Tract 8.06, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,1080,79,108,175,16,(X),7.3,10,16.2,1.5,121,24,32,65,0,11.2,30.4,29.6,37.1,0
2019,1400000US12001000808,"Census Tract 8.08, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,1237,145,102,103,8,(X),11.7,8.2,8.3,0.6,34,7,0,27,0,2.7,4.8,0,26.2,0
2019,1400000US12001000809,"Census Tract 8.09, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,588,77,11,45,6,(X),13.1,1.9,7.7,1,14,0,0,14,0,2.4,0,0,31.1,0
2019,1400000US12001000901,"Census Tract 9.01, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,438,43,87,178,13,(X),9.8,19.9,40.6,3,142,6,28,108,0,32.4,14,32.2,60.7,0
2019,1400000US12001000902,"Census Tract 9.02, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,28,5,0,12,0,(X),17.9,0,42.9,0,0,0,0,0,0,0,0,-,0,-
2019,1400000US12001001000,"Census Tract 10, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,2375,234,109,0,18,(X),9.9,4.6,0,0.8,0,0,0,0,0,0,0,0,-,0
2019,1400000US12001001100,"Census Tract 11, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,2903,143,188,108,0,(X),4.9,6.5,3.7,0,49,16,18,15,0,1.7,11.2,9.6,13.9,-
2019,1400000US12001001201,"Census Tract 12.01, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,1292,32,59,11,0,(X),2.5,4.6,0.9,0,17,0,10,7,0,1.3,0,16.9,63.6,-
2019,1400000US12001001202,"Census Tract 12.02, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,3297,317,147,78,0,(X),9.6,4.5,2.4,0,53,20,19,14,0,1.6,6.3,12.9,17.9,-
2019,1400000US12001001203,"Census Tract 12.03, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,1641,128,61,87,9,(X),7.8,3.7,5.3,0.5,42,0,12,30,0,2.6,0,19.7,34.5,0
2019,1400000US12001001400,"Census Tract 14, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,976,51,3,0,0,(X),5.2,0.3,0,0,3,3,0,0,0,0.3,5.9,0,-,-
2019,1400000US12001001514,"Census Tract 15.14, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,769,102,28,55,12,(X),13.3,3.6,7.2,1.6,10,5,0,5,0,1.3,4.9,0,9.1,0
2019,1400000US12001001515,"Census Tract 15.15, Alachua County, Florida",NA,NA,NA,NA,NA,NA,NA,NA,2175,349,132,127,42,(X),16,6.1,5.8,1.9,114,25,37,52,0,5.2,7.2,28,40.9,0
